#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
43.2%	21600	43.20000000000683	782.1165161132812	283.51348168150184	1.3e+03	2.851411819458008	0:03
43.4%	21700	43.400000000007076	723.4225463867188	316.2105097169436	1.3e+03	2.8653578758239746	0:03
43.6%	21800	43.60000000000732	694.3563842773438	332.96646806690154	1.3e+03	2.8780369758605957	0:03
43.8%	21900	43.800000000007564	694.4472045898438	319.4709369349078	1.3e+03	2.8920109272003174	0:03
44.0%	22000	44.00000000000781	683.80908203125	310.4652183525808	1.3e+03	2.9058940410614014	0:03
44.2%	22100	44.20000000000805	662.4695434570312	306.98032963894406	1.3e+03	2.918867826461792	0:03
44.4%	22200	44.4000000000083	703.6084594726562	317.04598722580596	1.3e+03	2.933142900466919	0:03
44.6%	22300	44.60000000000854	730.3594970703125	312.127130416022	1.3e+03	2.947010040283203	0:03
44.8%	22400	44.80000000000879	744.1451416015625	319.26820070206753	1.3e+03	2.9596447944641113	0:03
45.0%	22500	45.00000000000903	734.136474609375	315.15504272086406	1.3e+03	2.972162961959839	0:03
45.2%	22600	45.200000000009275	672.052490234375	329.8594062408703	1.3e+03	2.9848618507385254	0:03
45.4%	22700	45.40000000000952	719.469482421875	303.12086719177506	1.3e+03	2.9990129470825195	0:03
45.6%	22800	45.600000000009764	665.0343017578125	322.8773415551992	1.3e+03	3.0115020275115967	0:03
45.8%	22900	45.80000000001001	699.7980346679688	280.07343681723273	1.3e+03	3.0240397453308105	0:03
46.0%	23000	46.00000000001025	693.391357421875	307.3256490741245	1.3e+03	3.036710023880005	0:03
46.2%	23100	46.2000000000105	698.1972045898438	314.5607891396134	1.3e+03	3.0512847900390625	0:03
46.4%	23200	46.40000000001074	676.2579345703125	342.55847318291046	1.3e+03	3.063539743423462	0:03
46.6%	23300	46.600000000010986	673.8931884765625	324.449402279674	1.3e+03	3.0762369632720947	0:03
46.8%	23400	46.80000000001123	734.649169921875	312.38062473753905	1.3e+03	3.0885069370269775	0:03
